Area Code,Area Name,NHS region,Region (Governement) ,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020
E06000036,Bracknell Forest,South East,South East,2,2,2,4,4,3,5,4,3,3,3,3,3,3,3,3,3,3,16,17,19,21,21,35,36,36,45
E06000037,West Berkshire,South East,South East,0,0,0,0,1,3,3,3,3,3,3,6,7,8,10,12,16,18,32,36,40,41,43,63,66,69,74
E06000038,Reading,South East,South East,0,0,0,2,3,3,3,3,3,5,7,7,7,8,8,8,9,10,25,27,27,28,29,66,67,67,79
E06000039,Slough,South East,South East,0,1,1,1,2,2,3,2,12,13,17,20,21,21,22,22,22,22,59,69,73,73,73,115,117,117,129
E06000040,Windsor and Maidenhead,South East,South East,0,1,1,1,4,5,6,6,9,10,13,13,13,13,13,13,13,14,37,44,48,48,49,75,75,76,88
E06000041,Wokingham,South East,South East,3,3,3,3,4,6,5,6,8,10,9,12,13,13,13,13,13,13,22,23,23,23,24,67,67,69,83
E06000042,Milton Keynes,South East,South East,1,2,2,2,2,2,4,3,3,4,5,7,7,11,17,25,29,38,58,71,82,94,106,117,127,141,149
E06000043,Brighton and Hove,South East,South East,8,8,8,8,9,9,10,10,9,11,12,14,17,17,17,25,25,30,33,33,33,33,44,49,50,71,73
E06000044,Portsmouth,South East,South East,0,0,0,0,0,1,1,1,3,4,5,13,22,25,25,29,33,42,50,64,70,72,78,79,83,85,89
E06000045,Southampton,South East,South East,0,0,0,0,0,0,1,1,3,4,7,7,8,11,11,24,28,32,37,41,43,68,76,100,105,128,145
E06000046,Isle of Wight,South East,South East,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,3,3,7,8,10,10,11,13,14,17,19,25
E06000047,County Durham,North East,North East,0,1,1,1,1,1,1,1,1,3,5,7,11,11,14,18,25,29,56,69,81,100,120,131,165,198,199
E06000049,Cheshire East,North West,North West,0,0,0,0,0,1,1,0,7,8,9,9,11,18,18,25,30,31,35,42,54,61,74,76,102,111,144
E06000050,Cheshire West and Chester,North West,North West,0,0,0,2,3,3,4,4,5,5,7,10,10,11,16,18,18,24,25,31,34,45,54,65,97,116,149
E06000051,Shropshire,West Midlands,West Midlands,0,1,2,2,3,3,4,2,2,3,3,3,3,3,10,27,33,44,53,56,67,78,85,102,106,120,138
E06000052,Cornwall and Isles of Scilly,South West,South West,4,4,5,5,5,4,5,8,10,10,10,16,20,20,25,30,37,43,48,56,64,69,81,99,114,125,149
E06000054,Wiltshire,South West,South West,3,4,4,4,4,5,5,7,7,9,12,17,20,23,28,34,39,43,54,58,67,76,83,93,105,110,120
E06000055,Bedford,East of England,East of England,0,0,0,0,0,0,0,0,1,1,1,1,4,4,7,7,7,10,20,25,32,34,60,60,72,74,83
E06000056,Central Bedfordshire,East of England,East of England,0,0,0,0,0,1,3,4,6,6,7,8,11,14,19,22,24,28,42,48,56,60,78,81,99,99,116
E06000057,Northumberland,North East,North East,0,0,0,0,0,0,0,0,0,4,6,7,10,10,10,13,19,23,45,53,61,67,76,92,119,142,142
E06000058,"Bournemouth, Christchurch and Poole",South West,South West,2,3,3,3,3,4,5,5,6,7,9,10,11,12,13,14,15,15,20,25,34,39,51,58,58,74,83
E06000059,Dorset,South West,South West,0,0,0,0,1,1,1,2,2,5,7,7,8,11,14,15,23,25,29,30,36,45,54,62,73,80,91
